"Lat_diff","DOM","followers","price","square","floor","subway","HouseAge","communityAverage","elevator"
0.553934999999996,659,81,26100,203.07,6,"0",19,42336,"0"
0.279488999999998,651,93,56900,147.63,30,"1",16,57372,"1"
0.388114999999999,548,56,72132,305,12,"1",9,67987,"1"
0.345566999999996,520,181,57046,192.83,16,"1",18,78508,"1"
0.377144999999999,515,106,54269,164,22,"1",15,66938,"1"
0.440761999999999,526,81,62593,135,28,"1",15,66952,"1"
0.437570000000001,506,62,71228,245.69,7,"1",17,86353,"1"
0.425587,479,52,72162,458,25,"1",5,146493,"1"
0.486163999999995,465,75,58682,436.25,6,"0",6,100306,"1"
0.437059999999995,485,6,52448,286,16,"1",21,45052,"1"
0.400686999999998,458,221,71705,131.79,7,"1",14,64109,"1"
0.384740000000001,467,96,61539,260,10,"1",9,63185,"1"
0.324390999999999,409,109,79602,201,14,"1",7,110955,"1"
0.437218999999999,459,158,58912,134.1,6,"0",18,61281,"0"
0.170411999999999,443,111,20724,152,4,"1",16,27988,"0"
0.614041,438,131,31967,136.08,6,"0",14,33905,"0"
0.506974,413,101,33122,157,14,"0",16,37870,"1"
0.471530999999999,308,24,21110,145.43,6,"0",18,30962,"0"
0.321160999999996,362,81,70533,165.88,22,"0",17,71559,"1"
0.517725999999996,573,139,29575,171.43,7,"0",15,36411,"0"
0.374383999999999,302,48,76087,138,9,"1",17,85059,"1"
0.341068999999997,306,77,67693,140.34,7,"1",12,73820,"1"
0.537129,342,91,52289,292.61,15,"0",4,58692,"1"
0.522902999999999,325,44,35856,152,6,"0",12,36869,"0"
0.311912,336,148,64706,187,30,"1",9,67612,"1"
0.363796000000001,309,9,81907,190.46,33,"1",14,103114,"1"
0.327041999999999,358,101,110064,145.37,4,"1",2,96118,"1"
0.408147999999997,302,50,90284,219.31,12,"0",14,85229,"1"
0.413488999999998,345,5,72087,302,21,"1",9,78232,"1"
0.660460999999998,300,10,27667,150,6,"0",19,37478,"0"
0.347619999999999,278,30,120854,165.49,15,"1",9,116259,"1"
0.314428999999997,289,48,52061,134.46,33,"1",16,50982,"1"
0.386956999999995,325,27,74828,227.19,26,"0",14,80715,"1"
0.456871,280,95,86195,139.22,26,"1",10,82517,"1"
0.331491,329,16,100466,137.36,14,"1",12,86631,"1"
0.345566999999996,326,45,82177,192.27,16,"1",18,78508,"1"
0.452306999999998,456,187,53290,175.64,28,"1",5,106627,"1"
0.418411999999996,269,24,44947,141.28,26,"1",11,36853,"1"
0.482101999999998,308,134,48659,147.56,9,"0",17,64451,"0"
0.416432,291,55,104412,204.48,22,"1",16,91516,"1"
0.321278999999997,268,132,44641,161.29,6,"1",15,57507,"0"
0.454138,300,13,142858,287,6,"0",9,118404,"1"
0.349636999999994,288,134,105654,407.37,15,"1",8,104368,"1"
0.550053999999996,554,237,39261,216.5,3,"0",18,44446,"0"
0.623939999999997,256,31,29097,154.66,6,"0",15,29442,"0"
0.328523999999994,284,52,84188,130.66,18,"0",12,64266,"1"
0.550053999999996,257,126,44620,172.57,3,"0",19,44446,"0"
0.374558,204,140,53717,296,3,"1",24,56427,"0"
0.345624000000001,251,252,54941,130.87,21,"0",9,72269,"1"
0.431729999999995,242,34,55687,254.1,17,"1",14,62476,"1"
0.405481999999999,460,290,50608,148.2,27,"1",12,64395,"1"
0.375364999999995,264,35,147745,175.98,16,"1",10,141922,"1"
0.329087000000001,257,77,50000,408,24,"0",15,47557,"0"
0.438614000000001,212,13,78103,211.26,20,"1",15,87262,"1"
0.502347,254,64,71750,193.73,6,"0",3,52791,"0"
0.372012999999995,203,9,51030,163.63,14,"1",14,54729,"1"
0.303840999999998,316,79,33965,130.43,19,"1",11,36432,"1"
0.315822999999995,236,6,52580,161.66,23,"0",18,61363,"1"
0.357577999999997,194,14,46339,355,5,"1",12,84981,"1"
0.369506000000001,238,265,110359,163.83,14,"1",9,112709,"1"
0.356379999999994,256,30,79530,352.07,22,"1",15,92162,"1"
0.303840999999998,208,28,34720,178,25,"1",16,36432,"1"
0.442875999999998,244,138,83538,147,23,"0",11,60587,"1"
0.312064999999997,220,85,45752,153,25,"1",27,60647,"1"
0.429819999999999,244,56,78900,192.65,19,"1",22,54582,"1"
0.602058,227,32,39216,153,6,"0",8,44235,"0"
0.282039999999995,179,12,52414,188.5,6,"0",8,56808,"1"
0.522371999999997,193,91,31187,166.74,7,"0",12,38281,"0"
0.427485999999995,240,50,97607,138.31,16,"1",12,79927,"1"
0.661605999999999,220,42,28841,204.57,28,"1",7,42567,"1"
0.303840999999998,229,42,34648,175.48,19,"1",11,36432,"1"
0.501718999999994,385,94,86770,167.11,7,"0",3,92910,"0"
0.392775999999998,317,256,75352,311.87,6,"1",14,94203,"1"
0.441716999999997,175,85,59488,181.55,21,"1",9,70861,"1"
0.303840999999998,255,131,34118,130.43,19,"1",11,36432,"1"
0.454311999999994,236,101,71906,172.17,28,"1",16,72467,"1"
0.518667999999998,215,45,45639,143.52,9,"1",14,46352,"1"
0.324674999999999,198,17,68491,233.61,25,"1",9,72170,"1"
0.517795999999997,183,15,35357,152.73,13,"1",14,37661,"1"
0.419584999999998,207,21,69385,151.33,27,"1",19,75239,"1"
0.401933,202,252,47225,258.34,16,"1",14,61947,"1"
0.509622999999998,204,88,47139,179.47,5,"0",13,51223,"0"
0.381391999999998,189,82,69234,226.77,28,"1",17,75074,"1"
0.512065999999997,203,18,30787,155.91,32,"0",16,40934,"1"
0.522902999999999,224,52,27439,247.83,12,"0",12,36869,"1"
0.408508999999995,193,83,57273,220,5,"0",6,63518,"0"
0.517725999999996,200,589,24391,205,7,"0",15,36411,"0"
0.519208999999996,223,48,43399,146.32,6,"1",12,37700,"0"
0.383156,247,0,111367,183,18,"0",9,99502,"1"
0.328468000000001,163,26,72011,131.23,30,"0",5,61865,"1"
0.489246999999999,164,38,50000,132,18,"1",13,49956,"1"
0.517725999999996,191,41,32280,136,18,"0",14,36411,"1"
0.438044999999995,160,6,39604,151.5,17,"1",13,40427,"1"
0.332777,165,44,100330,142.53,16,"1",13,97655,"1"
0.399567999999995,219,64,82026,140.2,23,"0",19,85478,"1"
0.402415999999995,152,9,110653,133.3,7,"1",21,116074,"0"
0.522160999999997,153,38,36213,156.85,7,"1",11,49033,"0"
0.494948000000001,198,94,82735,175.26,5,"1",12,75490,"0"
0.297813999999995,199,19,56761,167.37,18,"1",8,54571,"1"
0.517561999999998,196,53,34626,166.93,6,"0",10,38384,"0"
0.509841999999999,186,16,59316,303.46,3,"0",16,67509,"0"
0.330452000000001,213,61,59212,166.86,28,"1",14,56356,"1"
0.329087000000001,199,62,66816,143.68,23,"0",15,47557,"0"
0.416432,247,110,83228,282.36,26,"1",15,91516,"1"
0.533975999999996,185,51,44760,134.72,6,"1",12,46280,"0"
0.494948000000001,186,62,71344,217.26,5,"1",12,75490,"0"
